Oyun Adı;Site Satış Fiyatı (TL);Site Alış Fiyatı (TL);Takas Farkı (TL)
NHL 24;1299;800;499
NHL 25;1999;1500;499
NFS Unbound;1299;800;499
Ninja Gaiden 4;2999;2500;499
Ninja Gaiden 2 Black;2499;2000;499
Ninja Gaiden Ragebound;1999;1400;599
Nioh Collection;1299;;
Nioh 3;2899;2300;599
Octopath Traveler 2;2499;2000;499
One Piece Odyssey;1299;800;499
On The Road Truc-Simulator;1399;900;499
Outriders;699;;
Overcooked - All You Can Eat;1499;900;599
Overpass 2;1499;1000;499
PAYDAY 3;1199;700;499
Persona 5;1399;800;599
Persona 3;1899;1400;499
Poppy Playtime Triple Pack;1699;1100;599
Pragmata;3499;2800;699
Prince Of Persia The Lost Crown;1699;1100;599
Ratchet & Clank Rift Apart;1299;900;399
Rainbow Six Siege Deluxe Edition;799;400;399
Rainbow Six Siege Extraction;999;600;399
Reanimal;1999;1500;499
Remnant 2;1299;800;499
Resident Evil Requiem;3499;2700;799
Resident Evil 2;1399;900;499
Resident Evil 3;1399;900;499
Resident Evil 4;1299;800;499
Resident Evil 4 Gold Editiyon;1499;1000;499
Resident Evil 7 Gold Editiyon;1399;900;499
Resident Evil Village;1299;900;399
Resident Evil Village Gold Edition;1499;;
Returnal;899;500;399
Ride 4;1199;700;499
Ride 5;1699;1200;499
Riders Republic;1299;800;499
Rise Of The Ronin;1999;1500;499
Roadcraft;1899;1500;399
Robocop Rogue City;1499;1000;499
Robocop Rogue City Unhinished Business;1499;1000;499
Ruster;1699;1100;599
Sackboy A Big Adventure;1599;1000;599
Saints Row;999;500;499
Saros;3999;3200;799
Screamer;2999;2400;599
Sifu;1199;700;499
Silent Hill 2;1799;1300;499
Silent Hill F;2499;2000;499
Smurfs Kart;1499;1000;499
Smurfs Collection;1899;1400;499
Sniper Ghost Warrior Contracts 2;1299;800;499
Sniper Elite Resistance;1799;1300;499
Sniper Elite 5;1299;850;449
Snow Runner;1299;800;499
Sociable Soccer 25;1399;900;499
Sonic X Shadow Generation;1599;1100;499
Sonic Frontiers;1399;900;499
Sonic Racing Cross Worlds;2499;2000;499
Sonic Superstars;1299;800;499
Sonic Origins Plus;1399;900;499
Space Marine 2;1499;1000;499
Spider-Man 2 Marvel;1999;1500;499
Spiderman Miles Morales;1299;800;499
Split Fiction;1999;1500;499
Stalker 2 Türkçe;2499;2000;499
Star Wars Outlaws;1799;1200;599
Star Wars Jedi Fallen Order;1499;1000;499
